xyz:time = ,435335.99900, pos = ,-2171464.87329,4386119.30956,4076280.88937
LLA:time = ,435335.99900, pos = ,116.33893,39.97954,56.40463
xyz:time = ,435336.99900, pos = ,-2171462.47233,4386118.30699,4076279.44991
LLA:time = ,435336.99900, pos = ,116.33891,39.97954,53.97499
xyz:time = ,435337.99900, pos = ,-2171464.33700,4386119.10869,4076280.55628
LLA:time = ,435337.99900, pos = ,116.33893,39.97954,55.87034
xyz:time = ,435338.99900, pos = ,-2171463.44438,4386118.77361,4076280.06875
LLA:time = ,435338.99900, pos = ,116.33892,39.97954,55.02351
xyz:time = ,435339.99900, pos = ,-2171462.67177,4386118.28397,4076279.57247
LLA:time = ,435339.99900, pos = ,116.33892,39.97954,54.10573
xyz:time = ,435340.99900, pos = ,-2171463.51576,4386118.54090,4076280.10128
LLA:time = ,435340.99900, pos = ,116.33892,39.97954,54.90888
xyz:time = ,435341.99900, pos = ,-2171460.90547,4386116.96350,4076278.31666
LLA:time = ,435341.99900, pos = ,116.33890,39.97954,51.79155
xyz:time = ,435342.99900, pos = ,-2171460.75634,4386116.53760,4076277.96585
LLA:time = ,435342.99900, pos = ,116.33890,39.97954,51.22297
xyz:time = ,435343.99900, pos = ,-2171461.89839,4386117.36849,4076278.86133
LLA:time = ,435343.99900, pos = ,116.33891,39.97954,52.75719
xyz:time = ,435344.99900, pos = ,-2171461.91335,4386117.10386,4076278.78029
LLA:time = ,435344.99900, pos = ,116.33891,39.97954,52.52849
xyz:time = ,435345.99900, pos = ,-2171461.70188,4386116.84745,4076277.92158
LLA:time = ,435345.99900, pos = ,116.33891,39.97954,51.72878
xyz:time = ,435346.99900, pos = ,-2171461.71005,4386116.90504,4076278.48488
LLA:time = ,435346.99900, pos = ,116.33891,39.97954,52.13303
xyz:time = ,435347.99900, pos = ,-2171461.33926,4386116.62350,4076278.83329
LLA:time = ,435347.99900, pos = ,116.33891,39.97954,52.03749
xyz:time = ,435348.99900, pos = ,-2171460.37427,4386115.98593,4076278.24919
